"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
120,"應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科、大學 "," 機械工程相關、機械維護相關、金屬加工相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
121,"上班族、應屆畢業生、夜間就讀中、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 "," 不拘 "," 不拘 "
122,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
123,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
124,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
125,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
126,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 "," 不拘 "," 不拘 "
127,"夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 工程學科類、日文相關科系、資訊管理相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  日文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 ","作業系統基本操作"
128,"學生實習"," 不拘 "," 大學、碩士 "," 工業工程相關、資訊管理相關、資訊工程相關 "," 不拘 ","VBA、MS SQL、PL/SQL、Excel"," 不拘 "
129,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 英美語文相關、商業及管理學科類、工業工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
130,"上班族、應屆畢業生、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中、大學 "," 不拘 "," 不拘 "," 不拘 ","文書處理軟體操作、倉庫貨物標示╱置放╱盤點、理貨╱揀貨╱補貨作業、貨物運送與資材配送"
